,0
75,"SmokeBoxBBa
2361 Whitney Ave
Hamden, CT 06518

203 909 6545

BER e 39

CASHT
5/22/2014 2 ba: 48 PM
1 FXN DIET BIRCH
1 FULL BOX
SUBTOTAL:
TAX:
SERVER 7#0000074 --
TOTAL:

Cash
Change

 
"
76,"adise Restaurant ~~
W. 190th Street
geles, CA 902480 ©
310-324-4800

 
"
77,"NAANCHING
103 MONTGOMERRY St
JERSEY CITY, NJ 07302

2019840709

ORDER: SECOND FLOOR 19
Dine-in

   
   
    
 

cashier: Kiran

24-Mar-2019 7:14:55P

1 Chicken Lollipop $9.00
Med $0.00

1 Thai Fried Rice $12.00

Vegetables $0.00
Med $0.00

1 Chicken Tikka Masala $16.00
MILD PLEASE
1 Naan $3.00
1 Vegetable Biryani $12.00

MAKE IT MILD PLEASE

1 Mango Lassi $4.00
Subtotal $56.00

Tax $3.71
Service Charge (18.0%) $10.08

Total $69.79

 
"
78,"     

Follow us on Instagram & Facebook
@tayhooak land #tayhooak land
Please help us going Green & Save OUr
resources!

Please ask for Credit Card Receipt
if you'd like one printed for your

record...

 
        
      
    
   

Order# 142750
Table: Table - 7
Date: 2/19/19, 1:20 PM

  

   
    
   
 
    
   
      

- Special Combo Pho $12.95

Total Tax

Order Balance due:

Suggested Gratuity
Tip Total

00% of sale: $2.33 = $16.51
Ie; $2,59 = $16.77
"
79," 
  
      
    
 

   

FALMOUTH RAW BAR

56 Scranton Ave.
Falmouth, MA 02540
(508) 548-7729

Check 5738/1 o7/ozie-a 6:20PM
Guests J Abby Table

1..6 Oysters 19.00
1..Fish and Chips 22.00
3..MONSTAH rol] 114.00
1,.Chicken Wings 12.00
3. .#Patron 28.50
2..*Sparkling Wine 22.00
1..#0pen Liquor 6.00

| patron double
(«Item shown with tax included)

Items 219.81
town/MA tax 15.38

TOTAL 235.19

   

 
"
80," 

Newark Buffet
35201 Newark Blvd. #W Newark CA 94560
510-818-1136
http://www newarkbuffet .com

9:25 PM 36/29/2019

Server: Tim-11

Tab Bl il
any WANE uP PRICE
2 WEEKEND DINNER BUFFET 19.99 39.98

1 WEEKEND DINNER KIDS (3-5Y) 7.99
1 WEEKEND DINNER KIDS (6-10)

10.00

4 SODA DRINK 1.99 (7.96)
1 WEEKEND SENIOR oa a 18.09
SUBTOTAL: “th. 02

Tax (9.75%) : 8.20

92022.

TOTAL:
init

 

 

 
"
81,"Cashier: Tany
02-Mar-2019

Chicken Tort
Horchata
Custom Item

Subtotal
Tax

Total

Order T237THOQOT7RC

50
0.00
00

50.50

$9.00
$0.97

$9.97

Online: https://clover.com/1/T23 7THOQOT7RC

 
"
82,"SURATI FARSAN MART

11814 16TH STREET

ARTESIA, CA 90701
562-860-2310

WH SURATIFARSAN COM

16 Daksh D

Chk 45 a Gst 0

7 Chole Samosa **keT@°GO **#* 805,99
XXXXXXXXXXXXB4OZ

VISA 6.56
FOOD 5,99
TAX 0.57
PAYVENT 6.56

de J 16 Check (C7osed---2-------__
- ap ae Aug08'19 07:34PM-2——---——___

Thank You fier your business
Free ground Siesing onorders

of 7]lbs or_more.
WH. SURATIFARSAN. ‘COM

 
"
83,"ev’ eco
RESTAURANTS, INC

King Taco # 30
Exquisitamente.._
a la Mexicana 1
JO PRRERE REESE REE ORE ER EEE REE ES ESE o bby

1 SOPE ASADA

   
    

CON TODO
COPA $,ROJA
1 TACO ASADA 1.59
CON CEBOLLA
COPA S.ROJA
1 TACO PASTOR 1.59
NO CEBOLLA
COPA S.ROJA
1 QUESADILLA ASADA 4,89
1 ORDEN CHIPS 1.50
Sub/Tt] 12.67
Tax 8.75% 1.11
TO-GO 13.78

ViSA

Acct; XXXXXXXXXXXX63B1
Auth: 042402
Trans ID: 274999

SIT
Cashier 12875 CYNTHIA

Terminal 01 RECIBO # 10368
NUMERO DE ORDEN

11:24pm

zl SHES ert tears tesecateng
Muchas Gracias Por su Visita!
FOE ee ee

 
"
84,"Trattoria sapor ito

328 Washingtonstreet
Hoboken
201-533-1801

TABLE # 4
CHECK# 27273

DEON nek 7/1/2018 5:53:48 PM
SERVER: uae one

STATION:

Item Count: 4

1 STUFFED ARTICHOKEX $18.00

Pe

1 BK FETT AL PORCIN $36.00
| POsTOLETTE/ALLA/PaPe $42.00
‘| Se y HAE W/ GA* $10.50
TE $3.75
| DID ESPESSOF vr
Subtotal’ ae $1 tt: 5
FRAN) TOTAL 90

Opened: 7/1/2018 5:53:48 PM
"
85,"Pita Pita - Lonbard
211 E Roosevelt Rd
Lombard, IL 60148

Phone:
http://eatpitapita.com/default/
Ord #78
To Go
Emp1:Mohammad . 5/4/2017 4:10 PM
20 Mixed Meat Lunch 180.00
1 Reg 12pe Falafel 6.50
1 Reg 12pe Falafel 6.50
1 Miscelanceous 20.00

Subtotal 213.00

Tax 15.92

Total 228.92

Visa 8414 Payment 228.92
Tip

 

P

Total ee
Jennifer 2 ap
"
86," 

Table #2
Trans #: 137017 Serv: Manager 2
4/20/2018 8:29 PM # Cust:4

 
  

    
   
 

1 Shrimp Scampi $27.00
2 Chicken Milanese $46. 00

1 Veal Milanese $27. 00
3 Grey Goose $30. 00
1 Pineapple Juice $3. 00
1 Belvedere $12. 00
1 Becks Non Alcoholic $6. 00
1 Corona $6. 00
1 Comp Item ($12, 00)

TOTAL =:
Amount Due:
"
87," 
"
88,"ert
joovary, Bur eat a9

” — e

Strings
§ gs

$3.29
Net Total: et
TOTAL: “p13. 03

3.98

i $2.99

$13.03

Get FREE Smal] French Fries!
Take our 1-minute survey
Within 72 hours
MOOYAH, com/survey

 
"
89,"    
 
    
  
  
  
     
   
   
   
   
 
  
 

53 PM

#90024

23.00

  

Side Caesar 6.00
Chicken & Rib Combo 29.00
Woodford Reserve (2 @12. 00) 24.00

On the Rocks
Frisee Salad 10. 00
Poached Shrimp Cocktail 17.50
NY Stip 80z 28.00

   

     
    
   
   
   

Complete Subtotal 137.50

 

Subtotal 137. 50

 

Total Tax 5.43

Total 142.93

   

    
    
 

142° 93

   

Balance Due

  
    

THANK YOU
Visit us Online at
www FirepointGril].com

 
"
90,"19
‘tle Hasburger 5.1
me $0.00
Pickles $0.00
Tents $0
Grilled On $0.00
Grilled Hishroons $0
Grilled Mishroors 9
istard %
Ketch =

sm
2
Cheeseburger
‘tay #
Lettuce 2
Plekles
580 Sauce
1 Regul Sade

Sub Total

Seles Tax
Order Total

MasterCard
Cardd: sexsxsexs442031
uthor ization: 728767

> Order Closed <-—

seeaenanesesessenavenscessenesenesss
Don't throw anay your receipt!!!

Help Five Guys and you could win!
‘Log online to wn. fiveguys.con/survey
‘nd fill out @ brief survey!

10 lucky people will win a
Five Guys Gift Card each month
worth $25 each!

urchase necessary
pane 12/31/2017.

ithin 30 days
date to enter.
iveguys.con/survey
‘and how to enter
ing @ purchase or
completing a survey.
Void where prohibited,

SHEE eee roanernenioN

 
"
91,"cITy TASTE
930 WAYNE AVE. #100
SILVER SPRING, MD 20910
TEL:301-585-1111

Dine In
-11-2018 Time: 8:03PM
BOSS
TAB#: A06

No. of Guest : 2

1 Philadelphia Rae

1 13. Shrimp Tempura Roll
[Roll]

1 Rich / Famous Roll

1 16. Spicy Salmon Roll
[Roll

1 Veg / Tofu Pad Thai
Spicy
Amount :
TAX(6%) +

4.25

4.85
4.25

8.95

27.15
1.63

TOTAL: 28.78

THANK YOU VERY MUCH.

 
"
92,"Dine_In

 
"
93,"    

  
 
  
   
 
    

69°8 FW MBQNL € 9#

    

|
1 309
| SaTYd P¥9 93Y
AaIdS <
666 OGHOO ONIN S S# |

G2e8 +# I8AVag OSL#
8102 £S'6p:02 2 NAT NNS “LNO-AxuvO
G80Z-S88- 102

BEGLL
S.4dAdd0d
"
94," 
 
 
  
 
 
 
 
 
  

Pokeatery cv

18911 Lake Chabot _ December 29, 2018
Roag 2:01 PM
Castro Valley CA Ramelie
94546
Receipt: s2cw :

Authorization 060071

   
           

on
CHASE VISA
AID Ao 00 00 00 03 10 10
Poke Box $13.50
Regular, Avocado ($1.00)
Subtotal $13.50
Castro Valley Sales Tax $1.25
Tip $1.48
Visa 0642 (Chip)

  

$16.23
"
95," 
                   

Golden Coin
94-450 Ukee St
Waipahu, HI 96797
(808) 848-0802

Server: Charito St ation: |

Order #: 6879 4 ake out

»> SETTLED ««

1 Pit Lunch 2 Choices 9.79
BBQ
PINAPALTAN

ar Subtotal; 00
od Subtotal: 5.

 
"
96,"223 N. Citrus Ave
Covina, CA 91723
(626) 339-9496

 

Check :208774
Table :BAR9
Server :Ryan
09/25/18 08:44pm
AR

[Seat 1]

? Bohemia $16.00
Tall

1 Albondigas $9.95

1 Mole $16.95

f ee

Subtotal: $42 .90

Tax: $4.08

Sub w/Tax: $46 .98

Total: $46 .98

— ""Thank-You!
seeing you again.”
"
97," 

Drive Thru
1 Burrito Cmb B28
Chk Ranchero Bur
ADD

Avo Slcs
Ind Chips
SM_DRINK
Coke
2 Bur-BRC @ 1.89 308 @
Cash 13.25 J
Food 12.06
Tax 1.06
Payment 12
Change Due 0.13

    
 

senna nan== 257 Check Closed---------==
B= Jun28' 17 05:38PH-—-——--—-
"
98,"N

Mineo!
516

g07 Victor V

  

nh aril
K's Tuscar
449 Mineola Blvd

a Ny 11501
747-2545

www nickstuscangr i] 1 aoa
Minimum Credit/Debit Paymen

 

$20

wtcet2

Mar18’18 10:54AM
Bar
FUSSILLI SP
1 Open Food 22.00
1 Ossobuco 28.00
1 Diet Coke 2.50
1 G 14 Hands Cab 40.00
Subtotal 62.50
Tax 5.39
Total 67.89

Minimum Credit/Debit Payment $20

Thank you for joining u

m LOU

Sc TON
fay.
"
99,"Mexican Restaurant & Bar
25 West San Fernando St.
San Jose, CA 95113
(408) 283-9595

 

 

  

12/29/201
1:17 PH
30001
3.25
Enmoladas with Meat 4.95
chicken Tend a
icken Tender: 95
1 Chicken er a
15.95 |
Subtotal 50.05 '
Tax 5.46 It
\
Total 55.51 |
Gratuity 18.00% 9.01
Total 64.52
Balance Due 64.52

1! Become a friend of us on
FACEBOOK to receive nes of
events & special offers !!

11 THANK YOU FOR COMING !!
"
100,"      

Stony vy
16725 Stony Plain Rd
Edmonton AB TSP 449

Welcome to all day breakfast
@ Me Donald’s

 

 

ITEM
+ 1 Delivery

1,10, HoNuggets, EVM,

| Barbeque Sauce

| Barbeque Sauce

1 L Coke

1M French Fries
HM GrChs S-Fry Yoo

 

1 Snoopy

1 HM Apple Juice
1 6 Cookies

6 Choc Chip Cookie
1 Baked Apple Pie
1L French Fries
1L Iced Tea

Subtotal

GST

Take-Out Total

CREDIT SALES - McDelivery
Change

GST #: 120907092

SALE #04kdFuo532

 

Ik sm

Store#: 3859 Tel#: 780-414-8362

|:

~ ks# 1 03/10/2018 07:39:

12 PH
TOTAL
0.00
10.29
*
0.40

3.99

REGAO SL sind SVT

Wy

430 SIL NEMLASWS

 
"
101,"KAZ RAMEN
22413 BARTON ROAD
GRAND TERRACE, CA 92313
9094229532

RDER: T4G1
DINE IN

Cashier: Mickey
04-Nov-2018 9:07:13P
Guest 1
1 Tonkotsu $9.50
Tofu $0.00
Egg $1.30
Corn $0.50
Bamboo shoots $1.00
Naruto $0.75
Spicy $0.00

Subtotal $13.05
Tax $1.01

Total $14.06

Order 4AW465DFNMVRT

 

 
"
102," 

ma
OM INDIAN FOOD

 

 

 

204 Spring St
New York, NY 10012
(646) 756-4000
(646) 657-0514 (Fax)
TABLE T1
ORDER #2
2 Guests
‘nvalea Pare) ey eng 12:03:14 PM
Manoj
1 Vegetable Biryani $12.95
1 Malai Kofta $12.95,
1 Onion Naan $3.95
SUBTOTAL: $29.85
LUNCH DISCOUNT 50% OFF : -$14.93
TAX: $1.32

TOTAL: $16.24

You have saved : $14.93

 
"
103,"  

 

Cristield seafood
Restaurant
8012 Georgia Ave.
Silver Sting. ""D20910

(301) 589-1306
DENIS
ORDER# 134
Carryout + 8
12/28/2017 8:38:16 PM GUESTS 1
TAKE OUT ,

Dinner Platters
1 Crisfield Special Platter 27.00

 

HK COOK MEDIUM 1K
Extras

1 Pint Bisque 11.50
SUBTOTAL: 38.50
Carry Out 1.93
TAX: 2.31
Register 1#0000144 -----------
TOTAL: $42.74
Last Serviced 12/29/2017 8:41:08 PM

Thanks you!

  

 
"
104,"Don Wan Hexican Restaurant

t Park Ave

  
    

(516) 442-4944

Server: Regina. Station: 4
Order . 28731 Dine ih
Table: GUESTS? 2
2 Red “Sangr' a a Claes. 14, ‘00
1 #4-COMBO FAJITAS 22,95
Flour Tortilla
Chicken
Shrimp
Steak
1 #34-BURRITO SUPREME 14.95
w/ Beef

Bar Subtote?:
Food-Sbtotal:
State:

TOTAL:
>» Ticket #: 23 «

11/6/2013 8;14:53 Pi
THANK YOU! of

  
"
105,"The Place 2 Be
\ 615 Franklin Ave
Hartford, CT 06114
8609047891
https://www.Place2BeCT.com

--- JOIN US FOR BOTTOMLESS BRUNCH ---
------- EVERY SATURDAY & SUNDAY -------
+eeeee» $15 BOTTOMLESS MIMOSAS *++**++*

ORDER: Table 17
Dine-In

    
   
   
 

Cashier: Mariah
17-Feb-2018 9:41:47A

ey
merican Coffee sla,
cue Coconut Pancakes ae
Pe ietsrona, Ste
Subtotal $21.50
An $1.37
Total So?
"
106,"Lan Sheng

209 Pa ;
Wallington >

Tel : 973.773.7100 Fax

[ B2 |
Dine In # 1011

Server: Mary 06/13/17 7
08:38 PM - ©

 
 
 

.
07057 ol
£973.17)

 

   
   
    

Spicy Chicken w. *

c Soy V. 518.95
1 -Hf- Peking Duck ue 95
1 Stir Beef Fillet w. Tofu $12.95
1 Pork w. Spicy Capsicum a 50
1 White Rice (S) ) 95
1 Pork w. Spicy Tofu & Cayen $12.

 

 

 
"
107,"      
    
     
    
    
       
       
       
     
     
       

MIKUNT JAPANESE
4323 Hazel Avenue
Fair Oaks, CA 95628
(916) 961-2112

1070 David 0

Tb] 42/1

  

905
Jul16'17 08:15PM

1 Hojito Pitcher Original w/ 18.00

2 Glass

1 Brussel Sprouts 6.50

1 Pepperfin 14.50

1 Spicy Drm 1 Red 14.50

1 Aerojet 14.95
1 Tommy i595)
2 Cou Toro 19.00
1 Daikon Hamachi 14.50
1 Garlic Salmon 14,00
Subtotal 133.90
Tax 10.38

Total Due 144.28
"
108,"    
 

0 Monge B80
‘6661 stanford Ranch Rd.
Rocklin, CA 95677

On tax 7.254:
Total

cash
‘rendered:
‘change

 
"
109,"Hacienas fale ont 748:
Teles 6555
Table: at (626)937-66°

est
Server: lind 8: 2
Dine In#:43
late:
SQ# Tsar? 18:38:46

[1] Bb wee $4.39
(FR, mild )
Fopcom Chicken
(Spicy , mild )

[11 Pg $6.75
Eraisec Beef flee/Noodle
[1] 99 24 oe $6.25
Cold Noodle With Chicken
(14 A $7.95
Beef Noodles

Amount: $25.34
Tax Rate:(9.00%): $2.28

Sub-Total: $27.62
IP GUIDE-----

18% = $4.56
20% = $5.07

 
"
110,"Chelokababi

1236 S Wolfe Rd Aug 18, 2018
Sunnyvale, CA 94086 6:35 PM
(408) 737-1222 Server
chelokababi.com

————————

Ticket: D2
= FOR HERE

Koobideh x 7
($16.50 each)
Well Done
Very well done

Nan-O-Sabzi $8.95
18% Gratuity “Wan ks ) $22.40
a i
Subtotal $146.85
$13.22

 
"
111,"oda So
carta Here

ANDEt

NGTON A

 
"
112,"    

, =
COLUMBUS RESTAURANT
736 OCEAN DRIVE
MIAMI BEACH, FL 39139
TEL: 786-275-6944

TABLE 94
S GUESTS Gustavo

2 FBD BLUE MARGARI © 55.00 Ht!
4 CHEESE BURGER 44.5)
4 CHICKEN HARSALA
TAX and. SERUICE Detail

TF ARTICLES Tak Total
| SALES TAX 727 = 143.00 = 40.04 153.01
| RESORT TAX2¢ ;

| SERUICE20Z
TOTAL 184. 47
SATURDAY 01-27-2048 03:59PM
Key 42-Haitr: 12-POS 4-BILL O1afy
PLEASE RATE US SO NE CAN BETTER} SpAyp
FOOD: 2g toe) kv
Cie el 2 3 4 5 O18 ay
—— ANBIANCE: = 4 2345 6 1089 NY

   

i
"
113,". Golden Panda Buffet

 

14428 Ramona Blvd. #70

Baldwin Park, CA 91706

Tel: 626-337-5666

Station: 1 6/02/2018 04:18:31 PM

Cashier: 010

invoice 68554 TH hot food
Adult Dinner 2 23.98
Soda 2 3.38
a
Subtotal 27.36
Tax 2.60
Grand Total 29.96

  
 

Amount Tendered 29.96
Debit Card sale 29.96
a

Thank you very much

Order # 152
"
114,"i
lacfource

 
"
115,"Rosebud on Rush
720 North Rush Street

Chicago, Il
312-266-6444

Date: jul15’17 04;07PM

Card Type: Visa

ACCT Mas KXXXXXXAAAKK G4 26

Card entry: SWIPED

Trans Type: PURCHASE

Trans Key: G1G005625257/29

Auth Code: 190275

Check: 1738

Table: 81/1

Server: 226 Chelsea
Subtotal: Diese. 18
ue

TOTAL

SIGNATURE
TH 18 ROSEBUD’S COPY

Thank you!

 
"
116,"     
   

io. 9862 06/08/19

1 P-VILLAGIO BREEZE

| ADD SALAD

| LUNCH SEAFOOD PASTA
| KID PEPERONI PIZZA
] ig ALFREDO

Viléog

Sub-total :

gro

GRILLE

Villaggio Grille
4780 Wharf Parkway
Orange Beach, AL 36561
PHONE: 251-224-6510

11:45 AM
able 14 Cust 3 Server 156 JAMIE

Total Due: 34.12
"
117,"                 
        
     
 
   
   
 
     
   
       
   

JAPANESE, STEAK
em ata as
AGE, CA.
ranch MBPS 524- iri?

Sale
oxxnxnxenencn 79?
\ISA Entry Method: Chip
Amount: $ 158.07
Tip: 1502

 
 

It) ROT,

Ca 7 gBe

w tt trol Co:
tor: Online No bal
4154 YEBIT |
Al; Abonebo—g310410 .
TR: 6 8
1S]: 08°00

CuStOmieP Cap y

  

wa
"
118,"Plain Potato
10 Chives

Total Tteas 3
Tex

PuW Total

Balance Due

How was your visit?
Call us at 888-624-8140

 
"
119," PURCHIOE ny
Panda Evoresg ‘HoM

Brooklyn,
(718) 246- 4698

12/22/2017 4: 58:01 py
Order : 196812

-T0 Go-
Server: Cheryfia M

1 Plate 910
CHOW MEIN-1/2
CHOW MEIN-1/2
BROCCOLI BEEF
BETJING BEEF
la

CHOW MEIN-1/2

Gch MED 1/2

an ING #0 CKN
a NEE Ta CkN

GRI
1 Te a cdi
1 PEPSI 20°, ou ¢

1 PEPSE 20 07
‘SubTotal
TAX

 
"
120,"RED & HOT zl

349 7 AVE, (COL
BROOKLY

TEL-(718)30'

TEL .(718)309-889

NY 11215

Dine In
Date: 10-20-2018 Time: 12:37PM
Server: WAITER1
TAB#: C2
No. of Guest : |
1 Vegetable Roll
oak Roll

1 (L)Veg Spare Ribs .BBS 7.65

WIR
Amount: 21,55
TAX(8.875%): 1.91
TOTAL : 23. 46

q ane you very much.

 
"
121,"    
    
    
     

of Portugal Restaurant
241 Mineola Blyd
Mineola, NY 41501

i -9797

09/10/17 3:28 PM
Table 02

$20.95
$28.95
$16.00

 

$65.90
$5.68
$71.58
"
122,"son Hexican Res

      

Server: IGOR Station: 33

Order #: 18539, Dine
Table: Al Guests
1 SOPA DE TORTILA BOML 5.5
1 TACO SALAD

CHKN
1 HOUSE MARGARITA JUMBO 1
1 Dr Pepper
1 SIDE CHEESE
1 HOUSE MARGARITA JUMBO

SUB TOTAL
Tax 1:

 

   
"
123," 
   

Negr
0 Hart mn Ave
New Orleans, LA 70124
Phone: (504) 488-0107

 

128 Daniel P

To? 90/1 Chk 4650 Gst 1
Aug23'19 12:07PM
*** Memo Check #4

Seat: 1
1 Fajita Vegetable TAS
1 Taco Shrimp Fresh Catch 3 12.00

*DON'T MAKE*

1 Water 0.00
Food 19.75
Tax 2.01
Total 21/6
"
124,"    
   

Firefly American Bistro
5525 New Albany Road West
New Albany, OH 43054

Server: Harry M 12/28/18 7:54 PM
Check #140 Table 24
Malbec Trivento $8.00
Blood Orange Marg $9.00
“Cup Italian Wedding Soup $2.95
Spaghetti Marinara ‘ $17.95
Add One Meatbal]
Add Two Meatbal]
Fettuccine Alfredo $23.95
Add Steak
Smal] Hedge Salad (Dinner) $4.95
Creme Brulee $4.00
Baileys $7.00
rie $77.80

$5.84
$83.64

 
"
125," 

CHATPATA RESTAURANT ING
1683 ROUTE 9
CLIFTON PARK, NY 12065
5182801190

Cashier: Kamal
19-Mar-2019 5:28:12P

1 6.5 Chicken Korma $11.95
1 10.1 Naan (Plain Naan $1.95
1 13.1 Kheer $3.95

Subtotal $17.85
Tax $1.25
Total $19.10

Online: https://clover.com T/KQ23FATONSTOT

Order KQ23F4T9N8T6T

 
"
126,"  
    
    
 
  
 

CAGE

FRENCH CAFE & WINE BAR

O121a Table 3 #Party 2
CHANDA R  SwrCk: 8 1:56p 06/02/15

} 2 SAUV BLANC JB 18.00
11.00

1 VEGGIE SANDWICH
4 QUICHE LORAINE 12.00
Sub Total: 41 .00
OPEN $DISCOUNT xDiscount#: 11.00
T : 1,80
Sub Total: 31 80
GRATUITY 18 eS
06/02 2:44pT OT AL * 39.18

nel
THANK YOU!
PLEASE COME AGAIN!
WINE TASTING 1ST TUESDAY
WE TAKE RESERVATONS
CALL US AT 9§4-565-2
vi, SAGECAFE NET

 
"
127,"  
 

PIZZA HUT
DINE_IN

Ticket #00100

Item Count: 3

 

 

ENTERED BY TABLE #GUEST
MAURICE 56 2
030835 10/25/2018 68:30 PM
01 1 $FiveLU 12.49
Hand toss
Cheese
Pepperoni
02 1 ~~ $FiveLU 7.69
Bone OUT
GarleParm
1 PiTehen ie 13.50
postallad ;
COUPON (F6) 10.18
Subtotal 23,50
Service Fee 0,94
TAX 2.00
26.76

 

  

SEE BACK OF RECEIPT FOR AN OFFER

SEE BACK OF RECEIPT FOR AN OFFER

wan ener ve REULIETT

 
"
128," 
  
 
  
  
  
  
  
 
   
  
 
 
  
  

KAAVERAS

SEN rs ene

KALAVERAS - BELLFLOWER
16530 BELLFLOWER BLVD
BELLFLOWER, CA 90706
5624610599
http://www.kalaveras.com/

ORDER: Bar B11

Cashier: BAR PM
30-Aug-2019 3:24:10P

1 Classic Michelada $12.00
1 Classic Michelada $12.00
1 Don Julio Anejo $15.00
1 Classic Michelada $12.00
1 Balam Madurado $12.00

Subtotal
Tax

Total
Thank you for your visit

NU

83V4QE
order 83V4QQC31PR

 

  
"
129,"HIRO JAPANESE RESTAURANT
3007 NE 163RD STREET
North Miami Beach, FL 33160
(305) 948-3687

Server: HUGO Station: 2

Order #: 209744
Guests: 2

1 (L)Ton Katsu
1 (L) Makimono

SUB TOTAL:

 
"
130,"BOA

SurCk: 1
parate checks:

Sub Total:
Tax:
Sub Total:
12/20 14:29 TOTAL: 47.09

SUGGESTED GRATUITY
18% 8.48
20% 9.42

 
"
131,"IAMBURGERS
SLAUSON MAYWOOD, CA 90270
PHONE 323-588-1607

MC #01
REG CASHIER 11-24-2017 12:13 PM 000072

$0.01
$8.80

$3.66

CRISPY
F FRIES - LRG $3.66

CRISPY
PRIEM MED DRINK $2.15
horchata
CH BURGERSSPEC $7.57
nd onions
EAT-IN
TAXABLE SALES $25.85
TAX $2.46
TL $28.31
CASH $40.00
CG $11.69

ORDER # oO000000052

PLEASE HELP US SERVE YOU BETTER

SERVICE WAS VERY GOOD [ ]
Good = [ ]
POOR [ ]

 
"
132,"VIA EMILIA 9
1120 15TH ST
MIAMI BEACH, FL 33139
7862167150

ORDER: Table 11

Cashier: V.
27-Apr-2017 6:21:59P.

1 Tagliatella al Ragu’

1 Cappellacci Di Zucca

1 Stufato Al Latte Di Ravenna

Subtotal
Tax

Total
‘Order QGVATH3NM28YC.

$14.90
$18.90
$22.90

$56.70
$5.10

$61.80

Show us your review on TripAdvisor or Yelp

and you'll get a free glass of wine!
"
133," 

MOONSTAR REST AURANT

383 GELLERT BLYD., DALY CITY, CA 94015
650- 992- 2888

tab 424 1 18:08 #2184

Qry NAME U/P PRICE
5  FRI-SUN DINNER $29.88 149.40
29.88 50%0FF BIRTHDAY -0.50 ~-14.94
SUBTOTAL: 134. 46
Tax(9%): Va)
Tip Guide:

15k: + 20.17= 166.74
18%; + 24.20: 170.77
20K: + 26.89 173.48

MANTA
"
134,"     
   
   
   
   
 
 

KFC
Restaurant #160014

3880 Hempstead Turnpike
Levittown
(516)735-3508

 
  
       
 
 

Ticket #28684
2016-07-08 9:16 PM
C160014 2 117 2884

Fill Up
Lrg Coleslaw
Lrg Mash/ Gvy
Lrg Mash Only
4 Biscuit

  
  
      
     
 
    

  

1.13
E THRU $21.73
$21.73
$0.00

 
"
135,"rt Pe ae prive

North Ca
hee Beverly Hills, cA 90210

TUE JANUARY a 2018
CHECK #27 470-1
TABLE a

1 ICED TEA $4.50
1 ROMBO CARCIOFI FUNGH $48.00
1 SPARKLING WATER LARG $8.50
1 BRANZINO GRIGLIATO $

1 CARPACCIO RED SNAP!

FOOD
SUB-TOTAL

TAX ‘i
TOTAL

Lok @
Mime: 14.22

  
    
 
 
"
136,"The Shawarma Factory
Apr 10, 2019
12:34 PM
Vince

—_
Ticket: #29 Visa 7286
Authorization 173245

14817 S. Western Ave
Gardena, CA 90249

Receipt O3WE

VISA DEBIT
AID AO 00 00 00 03 10 10
a Foe

Flame Broiled Chicken $11.99

1/2 Chicken, Hummus , House Salad

Subtotal $11.99

Sales Tax $1.14
AO

Total $13.13

fda a ee oaaram

 
"
137,"Navi Teriyaki
27000 Marine Ave #103
Redondo Beach, CA 90278
(310) 973-3500

Server: Annie

Order #: 168479 Phone Order
Customer Name: LEANNE
Guests: 1

>) SETTLED ««

1 Salmon Plate
1 Extra Shrimp

 
"
138,"CASA CHAN RESTAURANT

ORDER: 9
Dine In

jonton or Egg Dro} $3.75

Dinner
Wonton Soup $0.00,

2 @ $2.50/12 oz
Tamal De Pollo
50/each

Subtotal
Tax

Total
Order DAHGRRF9JPM70

Bring back this receipt for 10% off your next

visit! :)

Online: https://clover.com/t/
DMHGRRFSJPM70

{IU NUANNN

 
"
139," 

Ball No. 00027
Bill Time 22:06
Table No. P
Item Name
TANDOORI CHICKEN
MUTTON RAGON JOSH
FISH BIRIYANT

   

 

 

 

 

   

Bill Date 06.07.2027
Persons 02
Wer. No. 8D

 

Rat@mgty Amount
179 1.00 179.00
209 2.00 209.00
229 1.00 229.00
617.00
"
140,"SHAKE SHACK
1450 S. Dixie Highweny

   
  

peg dae silos.
2 = nae on

Pie
ShackBurger %
Smoke Shack 3

cheese fries

REG Soda (2 @2.75)
(2)REG Rootbeer

REG Iced Tea

cH
te
BR

2.2
Subtotal RB:
Tax 4
To Stay Total 25.47
Visa #XXXXXXXXXXXXS197
Auth: 130960
We Tweet .
You Tweet.
We All Tweet.

 
"
141,"MAR YAUATC

Yauatcha
110578007 Kakin

Restaurant
1 Tender Branch Hibiscus 8.00
1 Seafood Puff 10.80
1 Sesame Prawn Toast 11.80
1 Beancurd Prawn Cheung Fun 10.80

1 X0 Scallop Dumpling 8.80
1 Poached Beijing Dumpling 5.80
1 Spinach Dumpling 6.80
1 Tea Smoked Pork Ribs 22.00

Subtotal $84.80
Tax $3.82
Total Due $88 .62

International Market Place
2330 Kalakaua Ave Ste 326
Honolulu, Hawaii 96815
Reservat ions@YauatchaWaikiki .com
Phone: 808-739-9318

**GRATUITY NOT INCLUDED**

 

Pa site panies eras
"
142,"Alue Bear Tavern
2\6 5 {ith Street
(215)922-3427
www bluebeartavern -com

 

Check #; 00225 :
pate; 01/13/2012 10:16 PM Check
Station: Posd
Guests: 1

Servor
rye

\ GrAmini

\ Salami

\ Olives 3
{ Lrg Clams\mussels 14.06
4 Reg Ketel One 52.0
1 House Cab

Sub Total

 
"
